player,tm,ws
Ben McLemore,POR,0.8
Ben McLemore,SAC,4.2
Ben Moore,IND,0.0
Ben Poquette,CHI,0.4
Ben Poquette,CLE,7.999999999999999
Ben Poquette,DET,3.1
Ben Poquette,UTA,18.700000000000003
Ben Simmons,PHI,30.3
Ben Uzoh,CLE,0.0
Ben Uzoh,TOR,0.2
Ben Wallace,CHI,10.6
Ben Wallace,CLE,5.0
Ben Wallace,DET,66.0
Ben Wallace,ORL,5.6
Ben Wallace,WAS,6.5
Ben Warley,PHI,5.3
Bennedict Mathurin,IND,1.8
Bennie Swain,BOS,1.9
Beno Udrih,DET,1.3
Beno Udrih,MEM,3.8000000000000003
Beno Udrih,MIA,0.4
Beno Udrih,MIL,2.5
Beno Udrih,NYK,0.7
Beno Udrih,ORL,1.1
Beno Udrih,SAC,16.299999999999997
Beno Udrih,SAS,5.4
Benoit Benjamin,CLE,0.0
Benoit Benjamin,LAC,19.5
Benoit Benjamin,LAL,0.0
Benoit Benjamin,MIL,2.2
Benoit Benjamin,PHI,0.30000000000000004
Benoit Benjamin,TOR,0.0
Bernard James,DAL,1.7999999999999998
Bernard King,GSW,17.799999999999997
Bernard King,NYK,27.1
Bernard King,UTA,0.0
Bernard Robinson,CHA,1.9
Bernard Thompson,HOU,0.0
Bernard Thompson,POR,0.2
Bernard Toone,PHI,-0.1
Bernie Fryer,POR,1.6
Bert Cook,NYK,0.0
Bevo Nordmann,BOS,0.1
Bevo Nordmann,NYK,1.4
Bill Bradley,NYK,38.800000000000004
Bill Bridges,ATL,17.4
Bill Bridges,GSW,0.1
Bill Bridges,LAL,9.4
Bill Bridges,PHI,6.5
Bill Buntin,DET,0.9
Bill Cartwright,CHI,15.799999999999999
Bill Cartwright,NYK,56.8
Bill Curley,DAL,-0.1
Bill Curley,DET,0.5
Bill Curley,GSW,0.3
Bill Curley,HOU,0.0
Bill Curley,MIN,0.8999999999999999
Bill Dinwiddie,BOS,0.2
Bill Dinwiddie,MIL,-0.4
Bill Ebben,DET,-0.2
Bill Edwards,PHI,-0.3
Bill Garnett,DAL,7.4
Bill Garnett,IND,3.5
Bill Hanzlik,DEN,18.199999999999996
Bill Hewitt,CHI,0.8
Bill Hewitt,DET,3.0
Bill Hewitt,LAL,1.5
Bill Hosket,NYK,1.5
Bill Laimbeer,CLE,7.2
Bill Laimbeer,DET,98.4
Bill Ligon,DET,-0.2
Bill Martin,IND,0.6
Bill Martin,NYK,-0.1
Bill Mayfield,GSW,0.0
Bill McGill,LAL,-0.1
Bill McGill,NYK,4.5
Bill Melchionni,PHI,1.0
Bill Robinzine,CLE,-0.1
Bill Robinzine,DAL,2.4
Bill Robinzine,UTA,-0.2
Bill Russell,BOS,163.4
Bill Sharman,BOS,81.0
Bill Smith,NYK,-0.2
Bill Stricker,POR,0.0
Bill Thieben,DET,-0.7
Bill Turner,GSW,0.5
Bill Turner,LAL,-0.2
Bill Turner,POR,0.0
Bill Walton,BOS,4.9
Bill Walton,LAC,3.3
